name,symbol,instrument type,exchange,industry
Vanguard S&P 500 UCITS ETF,VUSA.AS,ETF,Amsterdam,BasicMaterials
Vanguard FTSE Emerging Markets UCITS ETF USD,VFEM.AS,ETF,Amsterdam,BasicMaterials
Amundi NYSE Arca Gold Bugs UCITS ETF Dist,GLDU.AS,ETF,Amsterdam,Financial
MAGNUM ICE CREAM CO NV,MICC.AS,Stocks,Amsterdam,ConsumerGoods
iShares MSCI EMU Paris-Aligd Clmt UCITS ETF EUR A,EMPA.AS,ETF,Amsterdam,-
iShares TIPS 0-5 UCITS ETF,TI5A.AS,ETF,Amsterdam,-
iShares MSCI EM ex China UCITS ETF,EXCH.AS,ETF,Amsterdam,-
iShares USD Treasury Bond UCITS ETF,GOVT.AS,ETF,Amsterdam,-
iShares MSCI China UCITS ETF,ICHN.AS,ETF,Amsterdam,-
iShares US Large Cap Max Buffer Sep UCITS ETF,MAXS.AS,ETF,Amsterdam,-
iShares MSCI Europe SRI UCITS ETF EUR (Acc),IESE.AS,ETF,Amsterdam,-
iShares Core MSCI EMU UCITS ETF,CEUU.AS,ETF,Amsterdam,-
