name,exchange,symbol,instrument type
Ambev SA,B3,ABEV3.SA,Stocks
BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,B3,AGRO3.SA,Stocks
Allos S.A.,B3,ALOS3.SA,Stocks
Alpargatas S.A.,B3,ALPA4.SA,Stocks
Auren Energia S.A.,B3,AURE3.SA,Stocks
Azul SA,B3,AZUL4.SA,Stocks
"B3 S.A. - Brasil, Bolsa, Balcão",B3,B3SA3.SA,Stocks
Banco do Brasil S.A.,B3,BBAS3.SA,Stocks
Banco Bradesco SA,B3,BBDC4.SA,Stocks
BB Seguridade Participações S.A.,B3,BBSE3.SA,Stocks
Minerva S.A.,B3,BEEF3.SA,Stocks
Grupo Casas Bahia S.A.,B3,BHIA3.SA,Stocks
Banco BTG Pactual S.A.,B3,BPAC11.SA,Stocks
Bradespar S.A.,B3,BRAP4.SA,Stocks
Brava Energia,B3,BRAV3.SA,Stocks
Braskem SA,B3,BRKM5.SA,Stocks
Companhia Energética de Minas Gerais SA,B3,CMIG4.SA,Stocks
CSN Mineração S.A.,B3,CMIN3.SA,Stocks
Cogna Educação S.A.,B3,COGN3.SA,Stocks
CPFL Energia S.A.,B3,CPFE3.SA,Stocks
Cosan SA,B3,CSAN3.SA,Stocks
Companhia de Saneamento de Minas Gerais,B3,CSMG3.SA,Stocks
Companhia Siderurgica Nacional SA,B3,CSNA3.SA,Stocks
Caixa Seguridade Participações S.A.,B3,CXSE3.SA,Stocks
Cyrela Brazil Realty S.A. Empreendimentos e Participações,B3,CYRE3.SA,Stocks
Dexco S.A.,B3,DXCO3.SA,Stocks
Engie Brasil Energia S.A.,B3,EGIE3.SA,Stocks
Eneva S.A.,B3,ENEV3.SA,Stocks
Energisa S.A.,B3,ENGI11.SA,Stocks
Equatorial Energia S.A.,B3,EQTL3.SA,Stocks
Fleury S.A.,B3,FLRY3.SA,Stocks
Gerdau SA,B3,GGBR4.SA,Stocks
Metalurgica Gerdau S.A.,B3,GOAU4.SA,Stocks
Hapvida Participações e Investimentos S.A.,B3,HAPV3.SA,Stocks
Hypera S.A.,B3,HYPE3.SA,Stocks
Iguatemi S.A.,B3,IGTI11.SA,Stocks
Inter & Co Inc.,B3,INBR32.SA,Stocks
IRB-Brasil Resseguros S.A.,B3,IRBR3.SA,Stocks
ISA Energia Brasil S.A,B3,ISAE4.SA,Stocks
Itaúsa S.A.,B3,ITSA4.SA,Stocks
Itau Unibanco Holding SA,B3,ITUB4.SA,Stocks
Klabin S.A.,B3,KLBN11.SA,Stocks
Lojas Renner S.A.,B3,LREN3.SA,Stocks
Magazine Luiza S.A.,B3,MGLU3.SA,Stocks
MRV Engenharia e Participações S.A.,B3,MRVE3.SA,Stocks
Multiplan Empreendimentos Imobiliários S.A.,B3,MULT3.SA,Stocks
PagSeguro Digital Ltd.,B3,PAGS34.SA,Stocks
Petróleo Brasileiro S.A.,B3,PETR4.SA,Stocks
Prio S.A.,B3,PRIO3.SA,Stocks
Raia Drogasil S.A.,B3,RADL3.SA,Stocks
Rumo S.A.,B3,RAIL3.SA,Stocks
Raízen S.A.,B3,RAIZ4.SA,Stocks
Rede D'Or São Luiz S.A.,B3,RDOR3.SA,Stocks
Petroreconcavo S.A.,B3,RECV3.SA,Stocks
Localiza Rent a Car S.A.,B3,RENT3.SA,Stocks
Nu Holdings Ltd.,B3,ROXO34.SA,Stocks
Banco Santander (Brasil) S.A.,B3,SANB11.SA,Stocks
Companhia de Saneamento do Paraná,B3,SAPR11.SA,Stocks
Companhia de Saneamento Básico do Estado de São Paulo - SABESP,B3,SBSP3.SA,Stocks
SLC Agrícola S.A.,B3,SLCE3.SA,Stocks
São Martinho S.A.,B3,SMTO3.SA,Stocks
Suzano SA,B3,SUZB3.SA,Stocks
Transmissora Aliança de Energia Elétrica S.A.,B3,TAEE11.SA,Stocks
Tim SA,B3,TIMS3.SA,Stocks
TOTVS S.A.,B3,TOTS3.SA,Stocks
Ultrapar Participacoes SA,B3,UGPA3.SA,Stocks
Usinas Siderúrgicas de Minas Gerais S.A.,B3,USIM5.SA,Stocks
Vale SA,B3,VALE3.SA,Stocks
"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",B3,VAMO3.SA,Stocks
Vibra Energia S.A.,B3,VBBR3.SA,Stocks
Telefonica Brasil SA,B3,VIVT3.SA,Stocks
WEG S.A.,B3,WEGE3.SA,Stocks
XP Inc,B3,XPBR31.SA,Stocks
Yduqs Participações S.A.,B3,YDUQ3.SA,Stocks
