name,exchange,symbol,instrument type
Arca Continental,BMV,AC.MX,Stocks
Grupo Rotoplas,BMV,AGUA.MX,Stocks
Alfa,BMV,ALFAA.MX,Stocks
Alpek,BMV,ALPEKA.MX,Stocks
Alsea,BMV,ALSEA.MX,Stocks
Banco del Bajio SA Institucion de Banca Multiple,BMV,BBAJIOO.MX,Stocks
Grupo Bimbo,BMV,BIMBOA.MX,Stocks
Bolsa Mexicana de Valores,BMV,BOLSAA.MX,Stocks
Grupo Comercial Chedraui,BMV,CHDRAUIB.MX,Stocks
Becle,BMV,CUERVO.MX,Stocks
Grupo Aeroportuario del Pacfico,BMV,GAPB.MX,Stocks
Grupo Carso,BMV,GCARSOA1.MX,Stocks
GCC,BMV,GCC.MX,Stocks
Gentera,BMV,GENTERA.MX,Stocks
Grupo Financiero Inbursa,BMV,GFINBURO.MX,Stocks
Grupo Financiero Banorte,BMV,GFNORTEO.MX,Stocks
Grupo Mexico,BMV,GMEXICOB.MX,Stocks
Gruma,BMV,GRUMAB.MX,Stocks
Kimberly-Clark de Mexico,BMV,KIMBERA.MX,Stocks
Coca-Cola FEMSA,BMV,KOFUBL.MX,Stocks
Genomma Lab Internacional,BMV,LABB.MX,Stocks
Megacable Holdings,BMV,MEGACPO.MX,Stocks
Orbia Advance Corporation,BMV,ORBIA.MX,Stocks
Industrias Penoles,BMV,PE&OLES.MX,Stocks
Promotora y Operadora de Infraestructura,BMV,PINFRA.MX,Stocks
Qualitas Controladora,BMV,Q.MX,Stocks
Regional,BMV,RA.MX,Stocks
Grupo Traxion,BMV,TRAXIONA.MX,Stocks
Corporacion Inmobiliaria Vesta,BMV,VESTA.MX,Stocks
Controladora Vuela Compania de Aviacion,BMV,VOLARA.MX,Stocks
Wal-Mart de México,BMV,WALMEX.MX,Stocks
