name,symbol,instrument type,exchange,industry
SOLVAY,SOLB.BR,Stocks,Brussels,BasicMaterials
Syensqo SA,SYENS.BR,Stocks,Brussels,Services
Ackermans & Van Haaren NV,ACKB.BR,Stocks,Brussels,IndustrialGoods
Ageas NV,AGS.BR,Stocks,Brussels,Financial
Anheuser Busch InBev,ABI.BR,Stocks,Brussels,ConsumerGoods
Argenx Se,ARGX.BR,Stocks,Brussels,ConsumerGoods
Colruyt Group,COLR.BR,Stocks,Brussels,ConsumerGoods
Groupe Bruxelles Lambert,GBLB.BR,Stocks,Brussels,Financial
KBC Groep,KBC.BR,Stocks,Brussels,Financial
Proximus SA,PROX.BR,Stocks,Brussels,Services
Sofina SA,SOF.BR,Stocks,Brussels,Financial
UCB SA,UCB.BR,Stocks,Brussels,ConsumerGoods
Umicore,UMI.BR,Stocks,Brussels,BasicMaterials
Warehouses De Pauw NV,WDP.BR,Stocks,Brussels,Financial
Aedifica SA,AED.BR,Stocks,Brussels,Financial
Cofinimmo SA,COFB.BR,Stocks,Brussels,Financial
DIeteren Group SA,DIE.BR,Stocks,Brussels,ConsumerGoods
Lotus Bakeries NV,LOTB.BR,Stocks,Brussels,ConsumerGoods
Elia Group SA,ELI.BR,Stocks,Brussels,Utilities
Azelis Group NV,AZE.BR,Stocks,Brussels,ConsumerGoods
Financiere de Tubize SA,TUB.BR,Stocks,Brussels,ConsumerGoods
Melexis NV,MELE.BR,Stocks,Brussels,Technology
Shurgard Self Storage Ltd,SHUR.BR,Stocks,Brussels,Financial
Kbc Ancora NV,KBCA.BR,Stocks,Brussels,Financial
Barco NV,BAR.BR,Stocks,Brussels,IndustrialGoods
Xior Student Housing NV,XIOR.BR,Stocks,Brussels,Financial
NV Bekaert SA,BEKB.BR,Stocks,Brussels,IndustrialGoods
DEME Group NV,DEME.BR,Stocks,Brussels,IndustrialGoods
VGP NV,VGP.BR,Stocks,Brussels,Financial
Montea NV,MONT.BR,Stocks,Brussels,Financial
Fagron NV,FAGR.BR,Stocks,Brussels,ConsumerGoods
Care Property Invest NV,CPINV.BR,Stocks,Brussels,Financial
Ontex Group NV,ONTEX.BR,Stocks,Brussels,ConsumerGoods
Kinepolis Group NV,KIN.BR,Stocks,Brussels,ConsumerGoods
Gimv NV,GIMB.BR,Stocks,Brussels,Financial
Retail Estates NV,RET.BR,Stocks,Brussels,Financial
Tessenderlo Group NV,TESB.BR,Stocks,Brussels,BasicMaterials
Brederode SA,BREB.BR,Stocks,Brussels,Financial
Recticel NV,RECT.BR,Stocks,Brussels,BasicMaterials
Bpost SA,BPOST.BR,Stocks,Brussels,IndustrialGoods
EVS Broadcast Equipment SA,EVS.BR,Stocks,Brussels,IndustrialGoods
Ion Beam Applications SA,IBAB.BR,Stocks,Brussels,ConsumerGoods
Titan SA,TITC.BR,Stocks,Brussels,IndustrialGoods
Hyloris Pharmaceuticals SA,HYL.BR,Stocks,Brussels,ConsumerGoods
Ascencio SA,ASCE.BR,Stocks,Brussels,Financial
Deceuninck NV,DECB.BR,Stocks,Brussels,IndustrialGoods
Tinc NV,TINC.BR,Stocks,Brussels,Financial
Van de Velde NV,VAN.BR,Stocks,Brussels,ConsumerGoods
Home Invest Belgium SA,HOMI.BR,Stocks,Brussels,Financial
AGFA Gevaert NV,AGFB.BR,Stocks,Brussels,IndustrialGoods
Compagnie du Bois Sauvage SA,COMB.BR,Stocks,Brussels,Financial
Nyxoah SA,NYXH.BR,Stocks,Brussels,ConsumerGoods
ONWARD Medical NV,ONWD.BR,Stocks,Brussels,ConsumerGoods
Compagnie Immobiliere de Belgique,IMMO.BR,Stocks,Brussels,Financial
Ekopak NV,EKOP.BR,Stocks,Brussels,Utilities
Wereldhave Belgium NV,WEHB.BR,Stocks,Brussels,Financial
Econocom Group SE,ECONB.BR,Stocks,Brussels,Technology
Sipef NV,SIP.BR,Stocks,Brussels,ConsumerGoods
Fluxys Belgium NV,FLUX.BR,Stocks,Brussels,Utilities
Jensen-Group NV,JEN.BR,Stocks,Brussels,IndustrialGoods
Exmar NV,EXM.BR,Stocks,Brussels,IndustrialGoods
Orange Belgium NV,OBEL.BR,Stocks,Brussels,Services
Nextensa NV,NEXTA.BR,Stocks,Brussels,Financial
Biotalys NV,BTLS.BR,Stocks,Brussels,BasicMaterials
Atenor SA,ATEB.BR,Stocks,Brussels,Financial
Nationale Bank Van Belgie NV,BNB.BR,Stocks,Brussels,Financial
Banqup Group,BANQ.BR,Stocks,Brussels,Technology
Whats Cooking Group NV,WHATS.BR,Stocks,Brussels,ConsumerGoods
Vastned Belgium NV,VASTB.BR,Stocks,Brussels,Financial
Qrf NV,QRF.BR,Stocks,Brussels,Financial
Sequana Medical NV,SEQUA.BR,Stocks,Brussels,ConsumerGoods
Cenergy Holdings SA,CENER.BR,Stocks,Brussels,Financial
Quest for Growth NV,QFG.BR,Stocks,Brussels,Financial
Inclusio SA,INCLU.BR,Stocks,Brussels,Financial
