name,symbol,instrument type,exchange,industry,etoro_symbol
Oil (Non Expiry),CL=F,Commodities,-,-,OIL
Gold (Non Expiry),GC=F,Commodities,-,-,GOLD
Silver (Non Expiry),SI=F,Commodities,-,-,SILVER
Copper (Expiring Future),HG=F,Commodities,-,-,COPPER.FUT
Natural Gas (Non Expiry),NG=F,Commodities,-,-,NATGAS
Platinum (Non Expiry),PL=F,Commodities,-,-,PLATINUM
Palladium,PA=F,Commodities,-,-,PALLADIUM.spot
Palladium (Expiring Future),PA=F,Commodities,-,-,PALLADIUM.FUT
Sugar (Expiring Future),SB=F,Commodities,-,-,SUGAR.FUT
Cotton (Expiring Future),CT=F,Commodities,-,-,COTTON.FUT
Cocoa (Expiring Future),CC=F,Commodities,-,-,COCOA.FUT
Wheat (Expiring Future),ZW=F,Commodities,-,-,WHEAT.FUT
Cotton No.7,CT=F,Commodities,-,-,CottonNo7
Orange Juice (Expiring Future),OJ=F,Commodities,-,-,OJ.FUT
Soybeans Oil (Expiring Future),ZL=F,Commodities,-,-,SoyOil.FUT
Soybeans Meal (Expiring Future),ZM=F,Commodities,-,-,SoyMeal.FUT
Euro NatGas (Expiring Future),TTF=F,Commodities,-,-,EuroNatGas.FUT
Oats (Expiring Future),ZO=F,Commodities,-,-,OATS.FUT
Rough Rice (Expiring Future),ZR=F,Commodities,-,-,RICE.FUT
Corn (Expiring Future),ZC=F,Commodities,-,-,Corn.FUT
Soybeans (Expiring Future),ZS=F,Commodities,-,-,Soybeans.FUT
Coffee Arabica (Expiring Future),KC=F,Commodities,-,-,Coffee.FUT
Gasoline (Expiring Future),RB=F,Commodities,-,-,Gasoline.FUT
Heating Oil (Expiring Future),HO=F,Commodities,-,-,HeatingOil.FUT
Live Cattle (Expiring Future),LE=F,Commodities,-,-,LiveCattle.FUT
Lean Hogs (Expiring Future),HE=F,Commodities,-,-,LeanHogs.FUT
Zinc (Non Expiry),ZNC=F,Commodities,-,-,ZINC
Brent Oil (Non Expiry),BZ=F,Commodities,-,-,EuroOIL
Aluminum (Non Expiry),ALI=F,Commodities,-,-,Aluminum
Coal (Expiring Future),MTF=F,Commodities,-,-,COAL.FUT
Steel (Expiring Future),HRC=F,Commodities,-,-,STEEL.FUT
Class III Milk (Expiring Future),DC=F,Commodities,-,-,MILK.FUT
Lumber (Expiring Future),LBS=F,Commodities,-,-,LUMBER.FUT
