name,symbol,instrument type,exchange,industry
Netcompany Group A/S,NETC.CO,Stocks,Copenhagen,Technology
Novo Nordisk B A/S,NOVO-B.CO,Stocks,Copenhagen,Healthcare
Danske Bank A/S,DANSKE.CO,Stocks,Copenhagen,Utilities
Orsted A/S,ORSTED.CO,Stocks,Copenhagen,Financial
Vestas Wind Systems A/S,VWS.CO,Stocks,Copenhagen,BasicMaterials
Novonesis B,NSIS-B.CO,Stocks,Copenhagen,Healthcare
Pandora A/S,PNDORA.CO,Stocks,Copenhagen,ConsumerGoods
Tryg A/S,TRYG.CO,Stocks,Copenhagen,Financial
DSV A/S,DSV.CO,Stocks,Copenhagen,IndustrialGoods
 Demant A/S,DEMANT.CO,Stocks,Copenhagen,Healthcare
ISS A/S,ISS.CO,Stocks,Copenhagen,IndustrialGoods
Genmab A/S,GMAB.CO,Stocks,Copenhagen,Healthcare
Coloplast B A/S,COLO-B.CO,Stocks,Copenhagen,Healthcare
Zealand Pharma A/S,ZEAL.CO,Stocks,Copenhagen,ConsumerGoods
Nkt A/S,NKT.CO,Stocks,Copenhagen,IndustrialGoods
Bavarian Nordic A/S,BAVA.CO,Stocks,Copenhagen,ConsumerGoods
Torm PLC,TRMD-A.CO,Stocks,Copenhagen,IndustrialGoods
AL Sydbank,ALSYDB.CO,Stocks,Copenhagen,Financial
Dampskibsselskabet Norden A/S,DNORD.CO,Stocks,Copenhagen,IndustrialGoods
Gubra A/S,GUBRA.CO,Stocks,Copenhagen,ConsumerGoods
Chemometec A/S,CHEMM.CO,Stocks,Copenhagen,IndustrialGoods
Cbrain A/S,CBRAIN.CO,Stocks,Copenhagen,Technology
H+H International A/S,HH.CO,Stocks,Copenhagen,IndustrialGoods
FLSmidth & Co. A/S,FLS.CO,Stocks,Copenhagen,IndustrialGoods
GN Store Nord A/S,GN.CO,Stocks,Copenhagen,ConsumerGoods
Jyske Bank A/S,JYSK.CO,Stocks,Copenhagen,Financial
Royal Unibrew A/S,RBREW.CO,Stocks,Copenhagen,ConsumerGoods
Copenhagen Airports AS,KBHL.CO,Stocks,Copenhagen,IndustrialGoods
Ringkjoebing Landbobank AS,RILBA.CO,Stocks,Copenhagen,Financial
ALM Brand AS,ALMB.CO,Stocks,Copenhagen,Financial
Schouw & Co AS,SCHO.CO,Stocks,Copenhagen,ConsumerGoods
Embla Medical hf,EMBLA.CO,Stocks,Copenhagen,Healthcare
Jeudan AS,JDAN.CO,Stocks,Copenhagen,BasicMaterials
UIE PLC,UIE.CO,Stocks,Copenhagen,ConsumerGoods
Vestjysk Bank AS,VJBA.CO,Stocks,Copenhagen,Financial
Sparekassen Sjaelland Fyn AS,SPKSJF.CO,Stocks,Copenhagen,Financial
Matas AS,MATAS.CO,Stocks,Copenhagen,ConsumerGoods
DFDS AS,DFDS.CO,Stocks,Copenhagen,IndustrialGoods
Tivoli AS,TIV.CO,Stocks,Copenhagen,ConsumerGoods
MT Hoejgaard Holding AS,MTHH.CO,Stocks,Copenhagen,IndustrialGoods
Laan & Spar Bank AS,LASP.CO,Stocks,Copenhagen,Financial
Nilfisk Holding AS,NLFSK.CO,Stocks,Copenhagen,IndustrialGoods
Skjern Bank AS,SKJE.CO,Stocks,Copenhagen,Financial
Djurslands Bank AS,DJUR.CO,Stocks,Copenhagen,Financial
Bang & Olufsen AS,BO.CO,Stocks,Copenhagen,Technology
Foeroya Banki PF,FOBANK.CO,Stocks,Copenhagen,Financial
Parken Sport & Entertainment AS,PARKEN.CO,Stocks,Copenhagen,ConsumerGoods
Trifork Group AG,TRIFOR.CO,Stocks,Copenhagen,Technology
NNIT AS,NNIT.CO,Stocks,Copenhagen,Technology
Groenlandsbanken AS,GRLA.CO,Stocks,Copenhagen,Financial
Fynske Bank AS,FYNBK.CO,Stocks,Copenhagen,Financial
Columbus AS,COLUM.CO,Stocks,Copenhagen,Technology
Kreditbanken AS,KRE.CO,Stocks,Copenhagen,Financial
North Media AS,NORTHM.CO,Stocks,Copenhagen,ConsumerGoods
HusCompagniet AS,HUSCO.CO,Stocks,Copenhagen,ConsumerGoods
Nordfyns Bank AS,NRDF.CO,Stocks,Copenhagen,Financial
Firstfarms AS,FFARMS.CO,Stocks,Copenhagen,ConsumerGoods
Lollands Bank AS,LOLB.CO,Stocks,Copenhagen,Financial
TCM Group AS,TCM.CO,Stocks,Copenhagen,ConsumerGoods
Rtx AS,RTX.CO,Stocks,Copenhagen,Technology
Prime Office AS,PRIMOF.CO,Stocks,Copenhagen,BasicMaterials
Moens Bank AS,MNBA.CO,Stocks,Copenhagen,Financial
Bioporto AS,BIOPOR.CO,Stocks,Copenhagen,Healthcare
Hvidbjerg Bank A/S,HVID.CO,Stocks,Copenhagen,-
Gabriel Holding A/S,GABR.CO,Stocks,Copenhagen,-
Scandinavian Investment Group A/S,SIG.CO,Stocks,Copenhagen,-
Glunz & Jensen Holding A/S,GJ.CO,Stocks,Copenhagen,-
Papirfabrikken Invest A/S,PFINV.CO,Stocks,Copenhagen,-
Ennogie Solar Group A/S,ESG.CO,Stocks,Copenhagen,-
Cemat A/S,CEMAT.CO,Stocks,Copenhagen,-
Strategic Investments A/S,STRINV.CO,Stocks,Copenhagen,-
Agat Ejendomme A/S,AGAT.CO,Stocks,Copenhagen,-
SKAKO A/S,SKAKO.CO,Stocks,Copenhagen,-
Rovsing A/S,ROV.CO,Stocks,Copenhagen,-
Aquaporin A/S,AQP.CO,Stocks,Copenhagen,-
Fast Ejendom Danmark A/S,FED.CO,Stocks,Copenhagen,-
