name,symbol,instrument type,exchange,industry
Siemens Aktiengesellschaft,SIE.DE,Stocks,Frankfurt,IndustrialGoods
BASF SE,BAS.DE,Stocks,Frankfurt,BasicMaterials
SAP SE,SAP.DE,Stocks,Frankfurt,Technology
Bayer AG,BAYN.DE,Stocks,Frankfurt,Healthcare
Allianz SE,ALV.DE,Stocks,Frankfurt,Financial
E.ON SE,EOAN.DE,Stocks,Frankfurt,Utilities
Mercedes-Benz Group AG,MBG.DE,Stocks,Frankfurt,ConsumerGoods
Deutsche Telekom AG,DTE.DE,Stocks,Frankfurt,Technology
Volkswagen AG,VOW3.DE,Stocks,Frankfurt,ConsumerGoods
Bayerische Motoren Werke Aktiengesellschaft,BMW.DE,Stocks,Frankfurt,ConsumerGoods
Muenchener Rueck AG,MUV2.DE,Stocks,Frankfurt,Financial
RWE AG,RWE.DE,Stocks,Frankfurt,Utilities
Fresenius Medical Care AG & Co. KGAA,FME.DE,Stocks,Frankfurt,Healthcare
Adidas AG,ADS.DE,Stocks,Frankfurt,ConsumerGoods
Deutsche Post AG,DHL.DE,Stocks,Frankfurt,Services
Fresenius SE & Co KGaA,FRE.DE,Stocks,Frankfurt,Healthcare
Henkel AG & Co. KGaA,HEN3.DE,Stocks,Frankfurt,ConsumerGoods
Deutsche Boerse AG,DB1.DE,Stocks,Frankfurt,Financial
ThyssenKrupp AG,TKA.DE,Stocks,Frankfurt,BasicMaterials
Infineon Technologies AG,IFX.DE,Stocks,Frankfurt,Technology
K+S Aktiengesellschaft,SDF.DE,Stocks,Frankfurt,BasicMaterials
Commerzbank AG,CBK.DE,Stocks,Frankfurt,Financial
Beiersdorf AG,BEI.DE,Stocks,Frankfurt,ConsumerGoods
Heidelberg Materials AG,HEI.DE,Stocks,Frankfurt,IndustrialGoods
Deutsche Lufthansa Aktiengesellschaft,LHA.DE,Stocks,Frankfurt,Services
Continental AG,CON.DE,Stocks,Frankfurt,ConsumerGoods
Deutsche Bank Aktiengesellschaft,DBK.DE,Stocks,Frankfurt,Financial
Daimler Truck Holding AG,DTG.DE,Stocks,Frankfurt,IndustrialGoods
Thyssenkrupp Nucera,NCH2.DE,Stocks,Frankfurt,Utilities
Kontron AG,KTN.DE,Stocks,Frankfurt,Technology
Heidelberger Druckmaschinen AG,HDD.DE,Stocks,Frankfurt,IndustrialGoods
AIXTRON,AIXA.DE,Stocks,Frankfurt,Technology
Ceconomy St,CEC.DE,Stocks,Frankfurt,ConsumerGoods
