name,symbol,instrument type,exchange,industry
Nordea Bank AB ,NDA1V.HE,Stocks,Helsinki,Financial
SSAB AB ser. A,SSABAH.HE,Stocks,Helsinki,BasicMaterials
Fortum Oyj,FORTUM.HE,Stocks,Helsinki,Utilities
UPM-Kymmene Oyj,UPM.HE,Stocks,Helsinki,BasicMaterials
Neste Oyj,NESTE.HE,Stocks,Helsinki,BasicMaterials
KONE Oyj,KNEBV.HE,Stocks,Helsinki,IndustrialGoods
Sampo Oyj A,SAMPO.HE,Stocks,Helsinki,Financial
Elisa Oyj,ELISA.HE,Stocks,Helsinki,Utilities
Nokian Renkaat Oyj,TYRES.HE,Stocks,Helsinki,ConsumerGoods
Wärtsilä Oyj Abp,WRT1V.HE,Stocks,Helsinki,IndustrialGoods
Stora Enso Oyj,STERV.HE,Stocks,Helsinki,BasicMaterials
Mandatum Holding Oy,MANTA.HE,Stocks,Helsinki,Financial
Kalmar Oyj-B Share,KALMAR.HE,Stocks,Helsinki,Services
Luotea Oyj,LASTIK.HE,Stocks,Helsinki,Services
Hiab Oyj,HIAB.HE,Stocks,Helsinki,IndustrialGoods
Huhtamaki Oyj,HUH1V.HE,Stocks,Helsinki,IndustrialGoods
Metsa Board,METSB.HE,Stocks,Helsinki,IndustrialGoods
Nokia Corp.,NOKIA.HE,Stocks,Helsinki,Services
Outokumpu Oyj,OUT1V.HE,Stocks,Helsinki,BasicMaterials
Metso Corporation,METSO.HE,Stocks,Helsinki,IndustrialGoods
Kesko Oyj B,KESKOB.HE,Stocks,Helsinki,ConsumerGoods
Konecranes Oyj,KCR.HE,Stocks,Helsinki,IndustrialGoods
Orion Oyj Class B,ORNBV.HE,Stocks,Helsinki,ConsumerGoods
Valmet Corporation,VALMT.HE,Stocks,Helsinki,IndustrialGoods
Kemira Oyj,KEMIRA.HE,Stocks,Helsinki,BasicMaterials
Sanoma Oyj,SANOMA.HE,Stocks,Helsinki,ConsumerGoods
Vaisala Oyj,VAIAS.HE,Stocks,Helsinki,IndustrialGoods
Terveystalo Oyj,TTALO.HE,Stocks,Helsinki,Healthcare
Puuilo Oyj,PUUILO.HE,Stocks,Helsinki,ConsumerGoods
Fiskars Oyj Abp,FSKRS.HE,Stocks,Helsinki,ConsumerGoods
Kempower Oyj,KEMPOWR.HE,Stocks,Helsinki,IndustrialGoods
Ponsse Oyj,PON1V.HE,Stocks,Helsinki,IndustrialGoods
Aktia Bank Abp,AKTIA.HE,Stocks,Helsinki,Financial
Harvia Oyj,HARVIA.HE,Stocks,Helsinki,IndustrialGoods
YIT Oyj,YIT.HE,Stocks,Helsinki,ConsumerGoods
Scanfil Oyj,SCANFL.HE,Stocks,Helsinki,Technology
Citycon Oyj,CTY1S.HE,Stocks,Helsinki,BasicMaterials
Musti Group Oyj,MUSTI.HE,Stocks,Helsinki,ConsumerGoods
Finnair Oyj,FIA1S.HE,Stocks,Helsinki,IndustrialGoods
Revenio Group Oyj,REG1V.HE,Stocks,Helsinki,Healthcare
Alandsbanken Abp,ALBAV.HE,Stocks,Helsinki,Financial
GRK Infra Oyj,GRK.HE,Stocks,Helsinki,IndustrialGoods
eQ Oyj,EQV1V.HE,Stocks,Helsinki,Financial
Tokmanni Group Oyj,TOKMAN.HE,Stocks,Helsinki,ConsumerGoods
Olvi Oyj,OLVAS.HE,Stocks,Helsinki,ConsumerGoods
Marimekko Oyj,MEKKO.HE,Stocks,Helsinki,ConsumerGoods
Lindex Group Oyj,LINDEX.HE,Stocks,Helsinki,ConsumerGoods
Bittium Oyj,BITTI.HE,Stocks,Helsinki,Technology
Raisio Oyj,RAIVV.HE,Stocks,Helsinki,ConsumerGoods
Luotea Plc,LUOTEA.HE,Stocks,Helsinki,IndustrialGoods
Viking Line Abp,VIK1V.HE,Stocks,Helsinki,IndustrialGoods
Enento Group Oyj,ENENTO.HE,Stocks,Helsinki,IndustrialGoods
Pihlajalinna Oyj,PIHLIS.HE,Stocks,Helsinki,Healthcare
CapMan Oyj,CAPMAN.HE,Stocks,Helsinki,Financial
Canatu Oyj,CANATU.HE,Stocks,Helsinki,Technology
Oma Saastopankki Oyj,OMASP.HE,Stocks,Helsinki,Financial
Incap Oyj,ICP1V.HE,Stocks,Helsinki,IndustrialGoods
Relais Group Oyj,RELAIS.HE,Stocks,Helsinki,ConsumerGoods
WithSecure Oyj,WITH.HE,Stocks,Helsinki,Technology
F Secure Oyj,FSECURE.HE,Stocks,Helsinki,Technology
Endomines Finland Oyj,PAMPALO.HE,Stocks,Helsinki,BasicMaterials
Sunborn International Oyj,SBI.HE,Stocks,Helsinki,ConsumerGoods
Etteplan Oyj,ETTE.HE,Stocks,Helsinki,IndustrialGoods
Atria Oyj,ATRAV.HE,Stocks,Helsinki,ConsumerGoods
Admicom Oyj,ADMCM.HE,Stocks,Helsinki,Technology
Evli Oyj,EVLI.HE,Stocks,Helsinki,Financial
Gofore Oyj,GOFORE.HE,Stocks,Helsinki,Technology
Koskisen Oyj,KOSKI.HE,Stocks,Helsinki,BasicMaterials
Taaleri Oyj,TAALA.HE,Stocks,Helsinki,Financial
Anora Group Oyj,ANORA.HE,Stocks,Helsinki,ConsumerGoods
United Bankers Oyj,UNITED.HE,Stocks,Helsinki,Financial
Remedy Entertainment Oyj,REMEDY.HE,Stocks,Helsinki,Technology
Oriola Oyj,ORIOLA.HE,Stocks,Helsinki,Healthcare
Aspo Oyj,ASPO.HE,Stocks,Helsinki,IndustrialGoods
Digia Oyj,DIGIA.HE,Stocks,Helsinki,Technology
Verkkokauppa.com Oyj,VERK.HE,Stocks,Helsinki,ConsumerGoods
Talenom Oyj,TNOM.HE,Stocks,Helsinki,IndustrialGoods
Summa Defence Oyj,SUMMA.HE,Stocks,Helsinki,Utilities
Detection Technology Oyj,DETEC.HE,Stocks,Helsinki,Healthcare
Solar Foods Oyj,SFOODS.HE,Stocks,Helsinki,Healthcare
Lemonsoft Oyj,LEMON.HE,Stocks,Helsinki,Technology
HKFoods Oyj,HKFOODS.HE,Stocks,Helsinki,ConsumerGoods
Alexandria Group Oyj,ALEX.HE,Stocks,Helsinki,Financial
Aiforia Technologies Oyj,AIFORIA.HE,Stocks,Helsinki,Technology
Suominen Oyj,SUY1V.HE,Stocks,Helsinki,ConsumerGoods
Nexstim Oyj,NXTMH.HE,Stocks,Helsinki,Healthcare
SSH Communications Security Oyj,SSH1V.HE,Stocks,Helsinki,Technology
Ilkka Oyj,ILKKA2.HE,Stocks,Helsinki,ConsumerGoods
Nightingale Health Oyj,HEALTH.HE,Stocks,Helsinki,Healthcare
Sitowise Group Oyj,SITOWS.HE,Stocks,Helsinki,IndustrialGoods
Apetit Oyj,APETIT.HE,Stocks,Helsinki,ConsumerGoods
Raute Oyj,RAUTE.HE,Stocks,Helsinki,IndustrialGoods
Aallon Group Oyj,AALLON.HE,Stocks,Helsinki,-
Teleste Oyj,TLT1V.HE,Stocks,Helsinki,-
Kesko Oyj,KESKOA.HE,Stocks,Helsinki,-
Afarak Group SE,AFAGR.HE,Stocks,Helsinki,-
Wulff-Group PLC,WUF1V.HE,Stocks,Helsinki,-
Ilkka Oyj,ILKKA1.HE,Stocks,Helsinki,-
Raisio Oyj,RAIKV.HE,Stocks,Helsinki,-
Alandsbanken Abp,ALBBV.HE,Stocks,Helsinki,-
Exel Composites Oyj,EXL1V.HE,Stocks,Helsinki,-
Reka Industrial Oyj,REKA.HE,Stocks,Helsinki,-
Rapala VMC Oyj,RAP1V.HE,Stocks,Helsinki,-
Keskisuomalainen Oyj,KSL.HE,Stocks,Helsinki,-
Biohit Oyj,BIOBV.HE,Stocks,Helsinki,-
TietoEVRY Oyj,TIETO.HE,Stocks,Helsinki,-
Aspocomp Group Oyj,ACG1V.HE,Stocks,Helsinki,-
Digitalist Group Oyj,DIGIGR.HE,Stocks,Helsinki,-
Boreo Oyj,BOREO.HE,Stocks,Helsinki,-
Saga Furs Oyj,SAGCV.HE,Stocks,Helsinki,-
Nurminen Logistics Oyj,NLG1V.HE,Stocks,Helsinki,-
Martela Oyj,MARAS.HE,Stocks,Helsinki,-
Tulikivi Oyj,TULAV.HE,Stocks,Helsinki,-
KH Group Oyj,KHG.HE,Stocks,Helsinki,-
QPR Software Oyj,QPR1V.HE,Stocks,Helsinki,-
Solteq Oyj,SOLTEQ.HE,Stocks,Helsinki,-
Componenta Oyj,CTH1V.HE,Stocks,Helsinki,-
Glaston OYJ ABP,GLA1V.HE,Stocks,Helsinki,-
Tecnotree Oyj,TEM1V.HE,Stocks,Helsinki,-
Telia Co AB,TELIA1.HE,Stocks,Helsinki,-
Metsa Board Oyj,METSA.HE,Stocks,Helsinki,-
Wetteri Oyj,WETTERI.HE,Stocks,Helsinki,-
Telefonaktiebolaget LM Ericsson,ERIBR.HE,Stocks,Helsinki,-
SRV Group Oyj,SRV1V.HE,Stocks,Helsinki,-
Lamor Corp Oyj,LAMOR.HE,Stocks,Helsinki,-
Loihde Oyj,LOIHDE.HE,Stocks,Helsinki,-
Robit Oyj,ROBIT.HE,Stocks,Helsinki,-
Siili Solutions Oyj,SIILI.HE,Stocks,Helsinki,-
Arvo Sijoitusosuuskunta,ARVOSK.HE,Stocks,Helsinki,-
Ovaro Kiinteistosijoitus Oyj,OVARO.HE,Stocks,Helsinki,-
Enersense International Oyj,ESENSE.HE,Stocks,Helsinki,-
Consti Oyj,CONSTI.HE,Stocks,Helsinki,-
Herantis Pharma Oyj,HRTIS.HE,Stocks,Helsinki,-
Optomed Oy,OPTOMED.HE,Stocks,Helsinki,-
SSAB AB,SSABBH.HE,Stocks,Helsinki,-
Tamtron Group Oyj,TAMTRON.HE,Stocks,Helsinki,-
LeadDesk Oyj,LEADD.HE,Stocks,Helsinki,-
Orthex Oyj,ORTHEX.HE,Stocks,Helsinki,-
Kamux Corp,KAMUX.HE,Stocks,Helsinki,-
Modulight Oy,MODU.HE,Stocks,Helsinki,-
Titanium Oyj,TITAN.HE,Stocks,Helsinki,-
Viafin Service Oyj,VIAFIN.HE,Stocks,Helsinki,-
Fodelia Oyj,FODELIA.HE,Stocks,Helsinki,-
Faron Pharmaceuticals Oy,FARON.HE,Stocks,Helsinki,-
Nanoform Finland Plc,NANOFH.HE,Stocks,Helsinki,-
Kreate Group Oyj,KREATE.HE,Stocks,Helsinki,-
Toivo Group Oyj,TOIVO.HE,Stocks,Helsinki,-
Lapwall Oyj,LAPWALL.HE,Stocks,Helsinki,-
Asuntosalkku Oyj,ASUNTO.HE,Stocks,Helsinki,-
Tekova Oyj,TEKOVA.HE,Stocks,Helsinki,-
Cityvarasto Oyj,CITYVA.HE,Stocks,Helsinki,-
Posti Group Oyj,POSTI.HE,Stocks,Helsinki,-
Framery Group Oyj,FRAMERY.HE,Stocks,Helsinki,-
