name,symbol,instrument type,exchange,industry
Xiaomi Corp,1810.HK,Stocks,HongKong,ConsumerGoods
China Construction Bank,0939.HK,Stocks,HongKong,Financial
Bank of China,3988.HK,Stocks,HongKong,Financial
Industrial And Commercial Bank of China,1398.HK,Stocks,HongKong,Financial
Agricultural Bank of China,1288.HK,Stocks,HongKong,Financial
China Petroleum & Chemical Corporation,0386.HK,Stocks,HongKong,BasicMaterials
Cnooc,0883.HK,Stocks,HongKong,BasicMaterials
Country Garden,2007.HK,Stocks,HongKong,Financial
China Citic Bank,0998.HK,Stocks,HongKong,Financial
China Minsheng Bank,1988.HK,Stocks,HongKong,Financial
People's Insurance Company (Group) of China,1339.HK,Stocks,HongKong,Financial
China National Building Material,3323.HK,Stocks,HongKong,IndustrialGoods
China Cinda Asset Management Co Ltd,1359.HK,Stocks,HongKong,Financial
Lenovo Group,0992.HK,Stocks,HongKong,Technology
China Shenhua,1088.HK,Stocks,HongKong,BasicMaterials
Yanzhou Coal,1171.HK,Stocks,HongKong,BasicMaterials
China Communications Construction,1800.HK,Stocks,HongKong,IndustrialGoods
Ping An Insurance,2318.HK,Stocks,HongKong,Financial
GCL Technology Holdings Ltd,3800.HK,Stocks,HongKong,BasicMaterials
Huaneng Power International Inc (HK),0902.HK,Stocks,HongKong,Utilities
Picc Property And Casualty,2328.HK,Stocks,HongKong,Financial
China Unicom HK,0762.HK,Stocks,HongKong,Services
China Telecom,0728.HK,Stocks,HongKong,Services
CGN Power Co Ltd,1816.HK,Stocks,HongKong,Utilities
Zijin Mining,2899.HK,Stocks,HongKong,BasicMaterials
China Life Insurance (HK),2628.HK,Stocks,HongKong,Financial
China Coal Energy,1898.HK,Stocks,HongKong,BasicMaterials
Bank of Communications,3328.HK,Stocks,HongKong,Financial
Air China,0753.HK,Stocks,HongKong,ConsumerGoods
Xinyi Solar Holdings Ltd,0968.HK,Stocks,HongKong,BasicMaterials
China Overseas Land & Investment,0688.HK,Stocks,HongKong,Financial
Great Wall Motor,2333.HK,Stocks,HongKong,ConsumerGoods
China Oilfield,2883.HK,Stocks,HongKong,BasicMaterials
China Longyuan,0916.HK,Stocks,HongKong,Utilities
AIA Group Ltd,1299.HK,Stocks,HongKong,Financial
China Railway Group,0390.HK,Stocks,HongKong,IndustrialGoods
Weichai Power,2338.HK,Stocks,HongKong,ConsumerGoods
China Pacific Insurance,2601.HK,Stocks,HongKong,Financial
