name,symbol,instrument type,exchange,industry
Galp Energia SGPS SA,GALP.LS,Stocks,Lisbon,Utilities
Mota Engil SGPS SA,EGL.LS,Stocks,Lisbon,IndustrialGoods
Navigator Company SA,NVG.LS,Stocks,Lisbon,BasicMaterials
Altri SGPS SA,ALTR.LS,Stocks,Lisbon,BasicMaterials
Sonae SGPS SA,SON.LS,Stocks,Lisbon,ConsumerGoods
REN Redes Energeticas Nacionais SGPS S A,RENE.LS,Stocks,Lisbon,Utilities
NOS SGPS SA,NOS.LS,Stocks,Lisbon,Services
CTT Correios de Portugal SA,CTT.LS,Stocks,Lisbon,ConsumerGoods
Corticeira Amorim SGPS SA,COR.LS,Stocks,Lisbon,IndustrialGoods
SEMAPA Sociedade de Investimento e Gestao SGPS SA,SEM.LS,Stocks,Lisbon,BasicMaterials
Ibersol SGPS SA,IBS.LS,Stocks,Lisbon,ConsumerGoods
Teixeira Duarte SA,TDSA.LS,Stocks,Lisbon,IndustrialGoods
Ramada Investimentos e Industria SA,RAM.LS,Stocks,Lisbon,BasicMaterials
NOVABASE SGPS SA,NBA.LS,Stocks,Lisbon,Technology
Pharol SGPS SA,PHR.LS,Stocks,Lisbon,Services
VAA Vista Alegre Atlantis SGPS SA,VAF.LS,Stocks,Lisbon,IndustrialGoods
Martifer SGPS SA,MAR.LS,Stocks,Lisbon,Services
Sonaecom SGPS SA,SNC.LS,Stocks,Lisbon,Services
Glintt Global SA,GLINT.LS,Stocks,Lisbon,Technology
Impresa Sociedade Gestora de Participacoes Sociais SA,IPR.LS,Stocks,Lisbon,Services
MERLIN Properties SOCIMI SA,MRL.LS,Stocks,Lisbon,Financial
