name,symbol,instrument type,exchange,industry
Gazprom OAO-ADR,OGZDL.L,Stocks,London,Utilities
KazMunaiGas Exploration Production JSC,KMGL.L,Stocks,London,Utilities
Lukoil OAO-ADR,LKOD.L,Stocks,London,BasicMaterials
Magnit PJSC,MGNTL.L,Stocks,London,ConsumerGoods
MegaFon OAO,MFONL.L,Stocks,London,Utilities
MMC Norilsk Nickel OJSC-ADR,MNODL.L,Stocks,London,BasicMaterials
NOVATEK OAO,NVTKL.L,Stocks,London,Utilities
PhosAgro OAO,PHORL.L,Stocks,London,IndustrialGoods
Rosneft OAO,ROSNL.L,Stocks,London,BasicMaterials
Severstal PAO,SVSTL.L,Stocks,London,BasicMaterials
Surgutneftegas OAO-ADR,SGGD.L,Stocks,London,Utilities
Tatneft OAO-ADR,ATADL.L,Stocks,London,Utilities
Uralkali PJSC,URKAL.L,Stocks,London,IndustrialGoods
iShares $ Treasury Bond 0-1yr UCITS ETF,IB01.L,ETF,London,Services
Dowlais Group PLC,DWL.L,Stocks,London,IndustrialGoods
Reliance Industries Limited,RIGD.L,Stocks,London,Services
Axis Bank Limited,AXB.L,Stocks,London,Financial
State Bank of India,SBID.L,Stocks,London,Financial
Larsen & Toubro Limited,LTOD.L,Stocks,London,IndustrialGoods
Mahindra & Mahindra Limited,MHID.L,Stocks,London,ConsumerGoods
GAIL India Limited,GAID.L,Stocks,London,Utilities
Tata Steel Limited,TTST.L,Stocks,London,IndustrialGoods
Canal+ France,CAN.L,Stocks,London,Technology
Valterra Platinum Limited,VALT.L,Stocks,London,BasicMaterials
Anglo American,AAL.L,Stocks,London,BasicMaterials
Associated British Foods,ABF.L,Stocks,London,ConsumerGoods
Admiral Group,ADM.L,Stocks,London,Financial
Aberdeen Asset Management,ADN.L,Stocks,London,Financial
Aggreko,AGK.L,Stocks,London,Services
Ashtead Group,AHT.L,Stocks,London,Services
Amec Foster Wheeler Plc,AMFW.L,Stocks,London,BasicMaterials
Antofagasta,ANTO.L,Stocks,London,BasicMaterials
ARM Holdings,ARM.L,Stocks,London,Technology
Aviva,AV.L,Stocks,London,Financial
AstraZeneca,AZN.L,Stocks,London,Healthcare
BAE Systems,BA.old,Stocks,London,IndustrialGoods
Babcock International,BAB.L,Stocks,London,Services
Barclays,BARC.L,Stocks,London,Financial
British American Tobacco,BATS.L,Stocks,London,ConsumerGoods
BG Group,BG.L,Stocks,London,BasicMaterials
British Land,BLND.L,Stocks,London,Financial
BHP Group Ltd ,BHP.L,Stocks,London,BasicMaterials
Bunzl,BNZL.L,Stocks,London,Services
BP,BP.L,Stocks,London,BasicMaterials
Burberry Group,BRBY.L,Stocks,London,Services
Sky PLC,SKY.L,Stocks,London,Services
BT Group,BT.L,Stocks,London,Technology
Coca Cola Hellenic,CCH.L,Stocks,London,ConsumerGoods
Carnival,CCL.L,Stocks,London,ConsumerGoods
Centrica,CNA.L,Stocks,London,Utilities
Compass Group,CPG.L,Stocks,London,Services
Capita,CPI.L,Stocks,London,Services
CRH,CRH.old,Stocks,London,IndustrialGoods
Diageo,DGE.L,Stocks,London,ConsumerGoods
Experian,EXPN.L,Stocks,London,Services
easyJet,EZJ.L,Stocks,London,Services
Fresnillo,FRES.L,Stocks,London,BasicMaterials
G4S,GFS.L,Stocks,London,Services
GKN,GKN.L,Stocks,London,ConsumerGoods
Glencore Plc,GLEN.L,Stocks,London,BasicMaterials
GlaxoSmithKline,GSK.L,Stocks,London,Healthcare
Hargreaves Lansdown,HL.L,Stocks,London,Financial
Hammerson,HMSO.L,Stocks,London,Financial
HSBC Holdings,HSBA.L,Stocks,London,Financial
International Consolidated Airlines,IAG.L,Stocks,London,Services
InterContinental Hotels Group,IHG.old,Stocks,London,Services
IMI,IMI.L,Stocks,London,IndustrialGoods
Imperial Brands PLC,IMB.L,Stocks,London,ConsumerGoods
Intertek Group,ITRK.L,Stocks,London,Services
ITV,ITV.L,Stocks,London,Services
Johnson Matthey,JMAT.L,Stocks,London,BasicMaterials
Kingfisher,KGF.L,Stocks,London,Services
Land Securities,LAND.L,Stocks,London,Financial
Legal & General,LGEN.L,Stocks,London,Financial
Lloyd's Banking Group PLC,LLOY.L,Stocks,London,Financial
London Stock Exchange,LSEG.L,Stocks,London,Financial
Meggitt,MGGT.L,Stocks,London,IndustrialGoods
Marks & Spencer,MKS.L,Stocks,London,Services
Mondi,MNDI.L,Stocks,London,ConsumerGoods
Melrose Industries,MRO.L,Stocks,London,IndustrialGoods
Wm Morrison Supermarkets PLC,MRW.L,Stocks,London,Services
National Grid,NG.L,Stocks,London,Utilities
Next PLC,NXT.L,Stocks,London,Services
Old Mutual,OML.L,Stocks,London,Financial
Petrofac,PFC.L,Stocks,London,BasicMaterials
Prudential,PRU.L,Stocks,London,Financial
Persimmon,PSN.L,Stocks,London,IndustrialGoods
Pearson,PSON.L,Stocks,London,Services
Reckitt Benckiser,RKT.L,Stocks,London,ConsumerGoods
Natwest Group PLC,NWG.L,Stocks,London,Financial
Royal Dutch Shell,RDSA.L,Stocks,London,BasicMaterials
RELX PLC,REL.L,Stocks,London,Services
REXAM,REX.L,Stocks,London,ConsumerGoods
Rio Tinto,RIO.L,Stocks,London,BasicMaterials
International Distributions Services PLC,IDS.L,Stocks,London,Services
Rolls-Royce,RR.L,Stocks,London,IndustrialGoods
Randgold Resources,RRS.L,Stocks,London,BasicMaterials
RSA Insurance,RSA.L,Stocks,London,Financial
Resolution,RSL.L,Stocks,London,Financial
SABMiller,SAB.L,Stocks,London,ConsumerGoods
J Sainsbury PLC,SBRY.L,Stocks,London,Services
Schroders,SDR.L,Stocks,London,Financial
Sage Group,SGE.old,Stocks,London,Technology
Shire,SHP.L,Stocks,London,Healthcare
abrdn PLC,ABDN.L,Stocks,London,Financial
Smiths Group,SMIN.L,Stocks,London,IndustrialGoods
Smith & Nephew,SN.L,Stocks,London,Healthcare
Frasers Group,FRAS,Stocks,London,Services
SSE,SSE.L,Stocks,London,Utilities
Standard Chartered,STAN.L,Stocks,London,Financial
Severn Trent,SVT.L,Stocks,London,Utilities
Tate & Lyle,TATE.L,Stocks,London,ConsumerGoods
Tullow Oil,TLW.L,Stocks,London,BasicMaterials
Travis Perkins,TPK.L,Stocks,London,IndustrialGoods
Tesco,TSCO.L,Stocks,London,Services
TUI Travel,TT.L,Stocks,London,ConsumerGoods
Unilever,ULVR.L,Stocks,London,ConsumerGoods
United Utilities,UU.L,Stocks,London,Utilities
Vodafone Group PLC,VOD.l.OLD,Stocks,London,Technology
Weir Group,WEIR.L,Stocks,London,IndustrialGoods
William Hill,WMH.L,Stocks,London,Services
Ferguson PLC,FERG.L,Stocks,London,IndustrialGoods
WPP,WPP.L,Stocks,London,Services
Whitbread,WTB.L,Stocks,London,Services
Daily Mail plc,DMGT.L,Stocks,London,Technology
3i Group PLC,III,Stocks,London,Financial
BAE Systems plc ,BA.L,Stocks,London,IndustrialGoods
CRH plc,CRH.L,Stocks,London,IndustrialGoods
InterContinental Hotels Group PLC,IHG.L,Stocks,London,ConsumerGoods
The Sage Group plc ,SGE.L,Stocks,London,Technology
M&G plc,MNG.L,Stocks,London,Financial
THG Plc,THG.L,Stocks,London,Services
Darktrace plc,DARK.L,Stocks,London,Technology
Future plc,FUTR.L,Stocks,London,Services
Airtel Africa Plc,AAF.L,Stocks,London,Services
Watches of Switzerland Group plc,WOSG.L,Stocks,London,ConsumerGoods
Harbour Energy plc,HBR.L,Stocks,London,Services
Dr. Martens plc,DOCS.L,Stocks,London,ConsumerGoods
Volution Group plc,FAN.L,Stocks,London,IndustrialGoods
Liontrust Asset Management PLC,LIO.L,Stocks,London,Financial
LXI REIT plc,LXI.L,Stocks,London,Financial
Kainos Group plc,KNOS.L,Stocks,London,Technology
Molten Ventures Plc,GROW.L,Stocks,London,Financial
AJ Bell plc,AJB.L,Stocks,London,Financial
Sirius Real Estate Limited,SRE.L,Stocks,London,Financial
Chrysalis Investments Limited,CHRY.L,Stocks,London,Financial
IntegraFin Holdings plc,IHP.L,Stocks,London,Financial
Diversified Energy Company PLC,DEC.L,Stocks,London,Services
Energean plc,ENOG.L,Stocks,London,Services
Endeavour Mining plc,EDV.L,Stocks,London,BasicMaterials
Bridgepoint Group plc,BPT.L,Stocks,London,Financial
