name,symbol,instrument type,exchange,industry
Apple,AAPL,Stocks,NASDAQ,ConsumerGoods
Alphabet,GOOG,Stocks,NASDAQ,Technology
Meta Platforms Inc,META,Stocks,NASDAQ,Technology
Microsoft,MSFT,Stocks,NASDAQ,Technology
Amazon.com Inc,AMZN,Stocks,NASDAQ,Services
Cisco Systems Inc,CSCO,Stocks,NASDAQ,Technology
Intel,INTC,Stocks,NASDAQ,Technology
Walmart Inc.,WMT,Stocks,NASDAQ,Services
PepsiCo,PEP,Stocks,NASDAQ,ConsumerGoods
Vodafone Group plc-ADR,VOD,Stocks,NASDAQ,Technology
eBay,EBAY,Stocks,NASDAQ,Services
Nebius Group NV,NBIS,Stocks,NASDAQ,Technology
Qiwi Plc-ADR,QIWI,Stocks,NASDAQ,Financial
Liberty Broadband Corporation,LBRDA,Stocks,NASDAQ,Services
 Liberty Media Corp-Liberty Formula One -C,FWONK,Stocks,NASDAQ,Services
"Option Care Health, Inc",OPCH,Stocks,NASDAQ,ConsumerGoods
"Lantheus Holdings, Inc",LNTH,Stocks,NASDAQ,ConsumerGoods
Novanta Inc,NOVT,Stocks,NASDAQ,IndustrialGoods
"Privia Health Group, Inc",PRVA,Stocks,NASDAQ,Technology
"Ziff Davis, Inc",ZD,Stocks,NASDAQ,Services
"Super Micro Computer, Inc",SMCI,Stocks,NASDAQ,Technology
"PTC Therapeutics, Inc",PTCT,Stocks,NASDAQ,ConsumerGoods
Enovix Corporation,ENVX,Stocks,NASDAQ,IndustrialGoods
"Cal-Maine Foods, Inc",CALM,Stocks,NASDAQ,ConsumerGoods
Neogen Corporation,NEOG,Stocks,NASDAQ,ConsumerGoods
Veru Inc,VERU,Stocks,NASDAQ,ConsumerGoods
"SIGA Technologies, Inc",SIGA,Stocks,NASDAQ,ConsumerGoods
"Tesla Motors, Inc.",TSLA,Stocks,NASDAQ,ConsumerGoods
"First Solar, Inc.",FSLR,Stocks,NASDAQ,Technology
TripAdvisor Inc,TRIP,Stocks,NASDAQ,Technology
Electronic Arts Inc,EA,Stocks,NASDAQ,Technology
Urban Outfitters Inc.,URBN,Stocks,NASDAQ,Services
Adobe Systems Inc,ADBE,Stocks,NASDAQ,Technology
"Netflix, Inc.",NFLX,Stocks,NASDAQ,Services
Western Digital Corporation,WDC,Stocks,NASDAQ,Technology
"Micron Technology, Inc.",MU,Stocks,NASDAQ,Technology
AGNC Investment Corp,AGNC,Stocks,NASDAQ,Financial
"Autodesk, Inc.",ADSK,Stocks,NASDAQ,Technology
NVIDIA Corporation,NVDA,Stocks,NASDAQ,Technology
Avis Budget Group Inc,CAR,Stocks,NASDAQ,Services
"Baidu, Inc.-ADR",BIDU,Stocks,NASDAQ,Technology
Starbucks Corp,SBUX,Stocks,NASDAQ,Services
Amgen Inc,AMGN,Stocks,NASDAQ,Healthcare
Check Point Software Technologies,CHKP,Stocks,NASDAQ,Technology
Keurig Dr Pepper Inc,KDP,Stocks,NASDAQ,ConsumerGoods
Dropbox Inc,DBX,Stocks,NASDAQ,Technology
Wix.com Ltd ,WIX,Stocks,NASDAQ,Technology
Ryanair Holdings plc-ADR,RYAAY,Stocks,NASDAQ,Services
Aurora Cannabis Inc,ACB,Stocks,NASDAQ,Healthcare
Tvardi Therapeutics Inc,TVRD,Stocks,NASDAQ,Healthcare
Corbus Pharmaceuticals Holding,CRBP,Stocks,NASDAQ,Healthcare
Cronos Group Inc,CRON,Stocks,NASDAQ,Healthcare
Tilray Brands Inc,TLRY,Stocks,NASDAQ,Healthcare
LYFT Inc,LYFT,Stocks,NASDAQ,Services
Beyond Meat Inc.,BYND,Stocks,NASDAQ,Services
Selina Hospitality PLC,SLNAF,Stocks,NASDAQ,ConsumerGoods
ARBE Robotics LTD,ARBE,Stocks,NASDAQ,ConsumerGoods
Oddity Tech Ltd,ODD,Stocks,NASDAQ,Technology
VinFast Auto Ltd,VFS,Stocks,NASDAQ,Services
ARM Holdings PLC,ARM,Stocks,NASDAQ,Technology
NetEase Inc.-ADR,NTES,Stocks,NASDAQ,Technology
XOS Inc,XOS,Stocks,NASDAQ,Services
Hello Group Inc-ADR,MOMO,Stocks,NASDAQ,Technology
Take Two Interactive Software Inc,TTWO,Stocks,NASDAQ,Technology
Marex Group plc,MRX,Stocks,NASDAQ,Financial
American Airlines Group Inc,AAL,Stocks,NASDAQ,Services
Biogen Inc,BIIB,Stocks,NASDAQ,Healthcare
Paramount Skydance Corp,PSKY,Stocks,NASDAQ,ConsumerGoods
Comcast Corp,CMCSA,Stocks,NASDAQ,ConsumerGoods
Costco Wholesale Corp,COST,Stocks,NASDAQ,ConsumerGoods
Twenty-First Century Fox Inc,FOX.OLD,Stocks,NASDAQ,ConsumerGoods
Gilead Sciences Inc,GILD,Stocks,NASDAQ,Healthcare
GoPro Inc,GPRO,Stocks,NASDAQ,ConsumerGoods
Honeywell International Inc,HON,Stocks,NASDAQ,IndustrialGoods
Booking Holdings Inc,BKNG,Stocks,NASDAQ,Services
PayPal Holdings,PYPL,Stocks,NASDAQ,Technology
Qualcomm Inc,QCOM,Stocks,NASDAQ,Technology
First Bancorp Inc Maine,FNMA,Stocks,NASDAQ,Financial
Express Scripts Holding Co,ESRX,Stocks,NASDAQ,Healthcare
Plains GP Holdings LP,PAGP,Stocks,NASDAQ,BasicMaterials
United Airlines Holdings Inc,UAL,Stocks,NASDAQ,Services
Mondelez International Inc,MDLZ,Stocks,NASDAQ,ConsumerGoods
StoneX Group Inc,SNEX,Stocks,NASDAQ,Financial
Sears Holdings Corp,SHLD,Stocks,NASDAQ,Services
