name,symbol,instrument type,exchange,industry
Nordic Semiconductor ASA,NOD.OL,Stocks,Oslo,Technology
MPC Container Ships ASA,MPCC.OL,Stocks,Oslo,IndustrialGoods
REC Silicon ASA,RECSI.OL,Stocks,Oslo,Technology
P/F Bakkafrost,BAKKA.OL,Stocks,Oslo,ConsumerGoods
Aker Solutions,AKSO.OL,Stocks,Oslo,BasicMaterials
BW LPG,BWLPG.OL,Stocks,Oslo,Utilities
DNB Bank ASA,DNB.OL,Stocks,Oslo,Financial
DNO ASA,DNO.OL,Stocks,Oslo,BasicMaterials
Gjensidige Forsikring,GJF.OL,Stocks,Oslo,Services
Mowi ASA,MOWI.OL,Stocks,Oslo,ConsumerGoods
Norsk Hydro,NHY.OL,Stocks,Oslo,IndustrialGoods
Norwegian Air Shuttle,NAS.OL,Stocks,Oslo,Services
Orkla,ORK.OL,Stocks,Oslo,ConsumerGoods
Petroleum Geo-Services,PGS.OL,Stocks,Oslo,BasicMaterials
Prosafe,PRS.OL,Stocks,Oslo,BasicMaterials
Storebrand,STB.OL,Stocks,Oslo,Services
Subsea 7,SUBC.OL,Stocks,Oslo,BasicMaterials
Telenor,TEL.OL,Stocks,Oslo,Utilities
TGS-NOPEC,TGS.OL,Stocks,Oslo,BasicMaterials
Yara International,YAR.OL,Stocks,Oslo,IndustrialGoods
Cavendish Hydrogen ASA,CAVEN.OL,Stocks,Oslo,Services
Solstad Maritime Holding AS,SOMA.OL,Stocks,Oslo,Services
Aker BP ASA,AKRBP.OL,Stocks,Oslo,IndustrialGoods
Equinor ASA,EQNR.OL,Stocks,Oslo,IndustrialGoods
NEL ASA,NEL.OL,Stocks,Oslo,IndustrialGoods
SalMar ASA,SALM.OL,Stocks,Oslo,ConsumerGoods
Tomra Systems,TOM.OL,Stocks,Oslo,IndustrialGoods
Scatec ASA,SCATC.OL,Stocks,Oslo,Services
Kongsberg Gruppen ASA,KOG.OL,Stocks,Oslo,IndustrialGoods
Var Energi ASA,VAR.OL,Stocks,Oslo,Utilities
Frontline Plc,FRO.OL,Stocks,Oslo,IndustrialGoods
Dof Group ASA,DOFG.OL,Stocks,Oslo,Utilities
Hoegh Autoliners ASA,HAUTO.OL,Stocks,Oslo,IndustrialGoods
Wallenius Wilhelmsen ASA,WAWI.OL,Stocks,Oslo,IndustrialGoods
AutoStore Holdings Ltd,AUTO.OL,Stocks,Oslo,Technology
Cadeler A/S,CADLR.OL,Stocks,Oslo,Utilities
Leroy Seafood Group ASA,LSG.OL,Stocks,Oslo,ConsumerGoods
Grieg Seafood ASA,GSF.OL,Stocks,Oslo,ConsumerGoods
Paratus Energy Services Ltd,PLSV.OL,Stocks,Oslo,Utilities
Hexagon Composites ASA,HEX.OL,Stocks,Oslo,IndustrialGoods
Borr Drilling Ltd,BORR.OL,Stocks,Oslo,Utilities
Sparebank 1 SR Bank ASA,SB1NO.OL,Stocks,Oslo,Financial
Aker Carbon Capture ASA,ACC.OL,Stocks,Oslo,Utilities
Protector Forsikring ASA,PROT.OL,Stocks,Oslo,Financial
Elkem ASA,ELK.OL,Stocks,Oslo,IndustrialGoods
Aker ASA,AKER.OL,Stocks,Oslo,Financial
Elopak ASA,ELO.OL,Stocks,Oslo,IndustrialGoods
Sats ASA,SATS.OL,Stocks,Oslo,ConsumerGoods
Bluenord ASA,BNOR.OL,Stocks,Oslo,Utilities
Odfjell Drilling Ltd,ODL.OL,Stocks,Oslo,Utilities
Nykode Therapeutics ASA,NYKD.OL,Stocks,Oslo,ConsumerGoods
Okeanis Eco Tankers Corp,OET.OL,Stocks,Oslo,IndustrialGoods
Entra ASA,ENTRA.OL,Stocks,Oslo,Financial
Kitron ASA,KIT.OL,Stocks,Oslo,IndustrialGoods
Stolt-Nielsen Ltd,SNI.OL,Stocks,Oslo,IndustrialGoods
Sparebank 1 SMN,MING.OL,Stocks,Oslo,Financial
Europris ASA,EPR.OL,Stocks,Oslo,ConsumerGoods
Panoro Energy ASA,PEN.OL,Stocks,Oslo,Utilities
Austevoll Seafood ASA,AUSS.OL,Stocks,Oslo,ConsumerGoods
Northern Ocean Ltd,NOL.OL,Stocks,Oslo,Utilities
Kongsberg Automotive ASA,KOA.OL,Stocks,Oslo,ConsumerGoods
Borregaard ASA,BRG.OL,Stocks,Oslo,BasicMaterials
Norbit ASA,NORBT.OL,Stocks,Oslo,IndustrialGoods
2020 Bulkers Ltd,2020.OL,Stocks,Oslo,IndustrialGoods
Link Mobility Group Holding ASA,LINK.OL,Stocks,Oslo,Technology
Sparebanken Norge,SBNOR.OL,Stocks,Oslo,Financial
Nordic Mining ASA,NOM.OL,Stocks,Oslo,BasicMaterials
Norconsult ASA,NORCO.OL,Stocks,Oslo,IndustrialGoods
Norsk Titanium AS,NTI.OL,Stocks,Oslo,IndustrialGoods
Himalaya Shipping Ltd,HSHP.OL,Stocks,Oslo,IndustrialGoods
Shelf Drilling Ltd,SHLF.OL,Stocks,Oslo,Utilities
Solstad Offshore ASA,SOFF.OL,Stocks,Oslo,IndustrialGoods
Aker Biomarine ASA,AKBM.OL,Stocks,Oslo,ConsumerGoods
Atea ASA,ATEA.OL,Stocks,Oslo,Services
Odfjell SE,ODF.OL,Stocks,Oslo,IndustrialGoods
Sparebank 1 Nord-Norge,NONG.OL,Stocks,Oslo,Financial
Klaveness Combination Carriers ASA,KCC.OL,Stocks,Oslo,IndustrialGoods
Pexip Holding ASA,PEXIP.OL,Stocks,Oslo,Technology
Norske Skog ASA,NSKOG.OL,Stocks,Oslo,BasicMaterials
Siem Offshore Inc,SEA1.OL,Stocks,Oslo,Utilities
Wilh Wilhelmsen Holding ASA,WWI.OL,Stocks,Oslo,ConsumerGoods
Bonheur ASA,BONHR.OL,Stocks,Oslo,IndustrialGoods
Rana Gruber ASA,RANA.OL,Stocks,Oslo,BasicMaterials
Veidekke ASA,VEI.OL,Stocks,Oslo,IndustrialGoods
Ensurge Micropower ASA,ENSU.OL,Stocks,Oslo,IndustrialGoods
BW Energy Ltd,BWE.OL,Stocks,Oslo,Utilities
Public Property Invest ASA,PUBLI.OL,Stocks,Oslo,Financial
Kid ASA,KID.OL,Stocks,Oslo,ConsumerGoods
Salmon Evolution ASA,SALME.OL,Stocks,Oslo,ConsumerGoods
Ventura Offshore Holding Ltd,VTURA.OL,Stocks,Oslo,Financial
