name,symbol,instrument type,exchange,industry
Accor S.A.,AC.PA,Stocks,Paris,Services
Credit Agricole S.A.,ACA.PA,Stocks,Paris,Financial
Air Liquide SA,AI.PA,Stocks,Paris,Healthcare
AIRBUS SE,AIR.PA,Stocks,Paris,Services
Alstom SA,ALO.PA,Stocks,Paris,IndustrialGoods
Danone S.A,BN.PA,Stocks,Paris,ConsumerGoods
BNP Paribas SA,BNP.PA,Stocks,Paris,Financial
Carrefour SA,CA.PA,Stocks,Paris,ConsumerGoods
Capgemini SE,CAP.PA,Stocks,Paris,Technology
AXA Group,CS.PA,Stocks,Paris,Financial
Vinci S.A,DG.PA,Stocks,Paris,IndustrialGoods
EssilorLuxottica SA,EL.PA,Stocks,Paris,Healthcare
Bouygues SA,EN.PA,Stocks,Paris,IndustrialGoods
TotalEnergies SE,TTE.PA,Stocks,Paris,BasicMaterials
Valeo SA,FR.PA,Stocks,Paris,ConsumerGoods
Societe Generale Group,GLE.PA,Stocks,Paris,Financial
Engie SA,ENGI.PA,Stocks,Paris,Utilities
Kering SA,KER.PA,Stocks,Paris,ConsumerGoods
Legrand SA,LR.PA,Stocks,Paris,IndustrialGoods
LVMH Moet Hennessy Louis Vuitton SA,MC.PA,Stocks,Paris,ConsumerGoods
Compagnie Generale DES Etablissements Michelin SCA,ML.PA,Stocks,Paris,ConsumerGoods
LOreal SA,OR.PA,Stocks,Paris,ConsumerGoods
Orange,ORA.PA,Stocks,Paris,Services
Publicis Groupe,PUB.PA,Stocks,Paris,Services
Pernod-Ricard SA,RI.PA,Stocks,Paris,ConsumerGoods
Renault ,RNO.PA,Stocks,Paris,ConsumerGoods
SAFRAN,SAF.PA,Stocks,Paris,IndustrialGoods
Sanofi,SAN.PA,Stocks,Paris,Healthcare
Compagnie de Saint-Gobain S.A.,SGO.PA,Stocks,Paris,IndustrialGoods
Schneider Electric SE,SU.PA,Stocks,Paris,IndustrialGoods
Unibail Rodamco,UL.PA,Stocks,Paris,Financial
Veolia Environnement S.A.,VIE.PA,Stocks,Paris,Utilities
Vivendi,VIV.PA,Stocks,Paris,ConsumerGoods
Hermes International,RMS.PA,Stocks,Paris,Services
Soitec S.A.,SOI.PA,Stocks,Paris,Technology
Pluxee France SA,PLX.PA,Stocks,Paris,Services
Antin Infrastructure Partners SAS,ANTIN.PA,Stocks,Paris,Financial
Nexans SA,NEX.PA,Stocks,Paris,IndustrialGoods
Gaztransport et Technigaz SA,GTT.PA,Stocks,Paris,Utilities
Technip Energies N.V,TE.PA,Stocks,Paris,Utilities
ERAMET S.A.,ERA.PA,Stocks,Paris,BasicMaterials
Viridien,VIRI.PA,Stocks,Paris,Utilities
Verallia,VRLA.PA,Stocks,Paris,IndustrialGoods
Ayvens SA,AYV.PA,Stocks,Paris,ConsumerGoods
Ipsos SA,IPS.PA,Stocks,Paris,Services
Euroapi SA,EAPI.PA,Stocks,Paris,ConsumerGoods
Coface SA,COFA.PA,Stocks,Paris,Financial
 Vusion,VU.PA,Stocks,Paris,ConsumerGoods
Mercialys,MERY.PA,Stocks,Paris,Financial
Argan SA,ARG.PA,Stocks,Paris,Financial
Interparfums SA,ITP.PA,Stocks,Paris,ConsumerGoods
Derichebourg SA,DBG.PA,Stocks,Paris,IndustrialGoods
Mersen SA,MRN.PA,Stocks,Paris,IndustrialGoods
Beneteau SA,BEN.PA,Stocks,Paris,ConsumerGoods
Virbac SA,VIRP.PA,Stocks,Paris,ConsumerGoods
Lectra SA,LSS.PA,Stocks,Paris,Technology
X Fab Silicon Foundries EV,XFAB.PA,Stocks,Paris,Technology
Etablissements Maurel & Prom SA,MAU.PA,Stocks,Paris,Utilities
North Atlantic Energies,NAE.PA,Stocks,Paris,Utilities
Carmila SA,CARM.PA,Stocks,Paris,Financial
Tikehau Capital,TKO.PA,Stocks,Paris,Financial
Peugeot Invest SA,PEUG.PA,Stocks,Paris,Financial
Compagnie de lOdet,ODET.PA,Stocks,Paris,Services
Unibail-Rodamco-Westfield,URW.PA,Stocks,Paris,Financial
Atos SE,ATO.PA,Stocks,Paris,Technology
Dassault Systemes,DSY.PA,Stocks,Paris,Technology
Sodexo SA,SW.PA,Stocks,Paris,ConsumerGoods
STMicroelectronics NV,STMPA.PA,Stocks,Paris,Technology
Air France-KLM,AF.PA,Stocks,Paris,ConsumerGoods
Amundi SA,AMUN.PA,Stocks,Paris,Financial
Societe BIC SA,BB.PA,Stocks,Paris,ConsumerGoods
BioMerieux,BIM.PA,Stocks,Paris,ConsumerGoods
Bollore SA,BOL.PA,Stocks,Paris,Services
Bureau Veritas SA,BVI.PA,Stocks,Paris,ConsumerGoods
Casino Guichard Perrachon SA,CO.PA,Stocks,Paris,ConsumerGoods
Dassault Aviation SA,AM.PA,Stocks,Paris,IndustrialGoods
Eiffage SA,FGR.PA,Stocks,Paris,IndustrialGoods
Elior Group SA,ELIOR.PA,Stocks,Paris,ConsumerGoods
Eurofins Scientific SE,ERF.PA,Stocks,Paris,ConsumerGoods
Euronext NV,ENX.PA,Stocks,Paris,Financial
Fnac Darty SA,FNAC.PA,Stocks,Paris,ConsumerGoods
Genfit,GNFT.PA,Stocks,Paris,ConsumerGoods
Getlink SE,GET.PA,Stocks,Paris,IndustrialGoods
Groupe ADP,ADP.PA,Stocks,Paris,IndustrialGoods
Ipsen SA,IPN.PA,Stocks,Paris,ConsumerGoods
Klepierre SA,LI.PA,Stocks,Paris,Financial
Lagardere SCA,MMB.PA,Stocks,Paris,Services
Metropole Television SA,MMT.PA,Stocks,Paris,Services
Nexity SA,NXI.PA,Stocks,Paris,Financial
Opmobility,OPM.PA,Stocks,Paris,ConsumerGoods
Remy Cointreau SA,RCO.PA,Stocks,Paris,ConsumerGoods
SEB SA,SK.PA,Stocks,Paris,ConsumerGoods
Sopra Steria Group,SOP.PA,Stocks,Paris,Technology
Tarkett SA,TKTT.PA,Stocks,Paris,IndustrialGoods
Vantiva SA,VANTI.PA,Stocks,Paris,Utilities
TF1 Group,TFI.PA,Stocks,Paris,Utilities
Thales Group,HO.PA,Stocks,Paris,IndustrialGoods
Trigano SA,TRI.PA,Stocks,Paris,ConsumerGoods
Ubisoft Entertainment SA,UBI.PA,Stocks,Paris,Technology
Vallourec SA,VK.PA,Stocks,Paris,IndustrialGoods
Christian Dior,CDI.PA,Stocks,Paris,ConsumerGoods
DBV Technologies,DBV.PA,Stocks,Paris,ConsumerGoods
Parrot SA,PARRO.PA,Stocks,Paris,Technology
Claranova SADIR,CLA.PA,Stocks,Paris,Technology
Alten SA,ATE.PA,Stocks,Paris,IndustrialGoods
Arkema,AKE.PA,Stocks,Paris,BasicMaterials
