name,symbol,instrument type,exchange,industry
Evolution AB ,EVO.ST,Stocks,Stockholm,ConsumerGoods
Atlas Copco AB ser. B,ATCO-B.ST,Stocks,Stockholm,IndustrialGoods
Sinch AB,SINCH.ST,Stocks,Stockholm,Technology
SKF AB Class B,SKF-B.ST,Stocks,Stockholm,IndustrialGoods
Telefonaktiebolaget LM Ericsson,ERIC-A.ST,Stocks,Stockholm,Technology
Telia Company AB,TELIA.ST,Stocks,Stockholm,Services
Volvo AB ser. A,VOLV-A.ST,Stocks,Stockholm,BasicMaterials
Skandinaviska Enskilda Banken ser. A,SEB-A.ST,Stocks,Stockholm,Financial
Sandvik AB,SAND.ST,Stocks,Stockholm,BasicMaterials
"Hennes & Mauritz AB, H & M ser. B",HM-B.ST,Stocks,Stockholm,ConsumerGoods
Svenska Handelsbanken ser. A,SHB-A.ST,Stocks,Stockholm,Financial
"SKF, AB ser. A",SKF-A.ST,Stocks,Stockholm,IndustrialGoods
Swedbank AB ser A,SWED-A.ST,Stocks,Stockholm,Financial
ASSA ABLOY AB ser. B,ASSA-B.ST,Stocks,Stockholm,IndustrialGoods
Atlas Copco AB ser. A,ATCO-A.ST,Stocks,Stockholm,IndustrialGoods
Boliden AB,BOL.ST,Stocks,Stockholm,BasicMaterials
Alfa Laval AB,ALFA.ST,Stocks,Stockholm,IndustrialGoods
Securitas AB ser. B,SECU-B.ST,Stocks,Stockholm,IndustrialGoods
Skanska AB ser. B,SKA-B.ST,Stocks,Stockholm,IndustrialGoods
Investor AB ser. A,INVE-A.ST,Stocks,Stockholm,Financial
Orron Energy AB,ORRON.ST,Stocks,Stockholm,BasicMaterials
Trelleborg AB ser. B,TREL-B.ST,Stocks,Stockholm,IndustrialGoods
Hexagon AB ser. B,HEXA-B.ST,Stocks,Stockholm,Technology
"Industrivärden, AB ser. A",INDU-A.ST,Stocks,Stockholm,Financial
"Lundbergföretagen AB, L E ser. B",LUND-B.ST,Stocks,Stockholm,Financial
CoinShares International Limited,CS.ST,Stocks,Stockholm,Financial
Telefonaktiebolaget LM Ericsson,ERIC-B.ST,Stocks,Stockholm,Services
Volvo AB ser. B,VOLV-B.ST,Stocks,Stockholm,ConsumerGoods
EQT AB,EQT.ST,Stocks,Stockholm,Financial
Nordnet AB (publ),SAVE.ST,Stocks,Stockholm,Financial
AAK AB,AAK.ST,Stocks,Stockholm,ConsumerGoods
Castellum AB,CAST.ST,Stocks,Stockholm,Financial
Dometic Group AB,DOM.ST,Stocks,Stockholm,ConsumerGoods
Fabege AB,FABG.ST,Stocks,Stockholm,Financial
Loomis AB,LOOMIS.ST,Stocks,Stockholm,ConsumerGoods
Swedish Orphan Biovitrum AB,SOBI.ST,Stocks,Stockholm,ConsumerGoods
Stillfront Group AB,SF.ST,Stocks,Stockholm,Technology
