name,symbol,instrument type,exchange,industry
Nestle SA,NESN.SW,Stocks,Zurich,ConsumerGoods
Roche Holding Ltd,ROG.SW,Stocks,Zurich,ConsumerGoods
ABB LTD,ABBN.SW,Stocks,Zurich,IndustrialGoods
Adecco Group AG,ADEN.SW,Stocks,Zurich,Services
Julius Baer Gruppe AG,BAER.SW,Stocks,Zurich,Financial
Compagnie Financiere Richemont SA,CFR.SW,Stocks,Zurich,Financial
Geberit AG,GEBN.SW,Stocks,Zurich,IndustrialGoods
Givaudan S.A,GIVN.SW,Stocks,Zurich,BasicMaterials
Holcim Ltd,HOLN.SW,Stocks,Zurich,BasicMaterials
Swisscom AG,SCMN.SW,Stocks,Zurich,Technology
SGS SA,SGSN.SW,Stocks,Zurich,IndustrialGoods
Swiss Life Holding AG,SLHN.SW,Stocks,Zurich,Financial
Swiss Re AG,SREN.SW,Stocks,Zurich,Financial
UBS Group AG,UBSG.SW,Stocks,Zurich,Financial
The Swatch Group SA - B Shares,UHR.SW,Stocks,Zurich,BasicMaterials
Zurich Insurance Group Ltd,ZURN.SW,Stocks,Zurich,Financial
Accelleron Industries Ltd,ACLN.SW,Stocks,Zurich,IndustrialGoods
Chocoladefabriken Lindt & Sprungli AG,LISP.SW,Stocks,Zurich,ConsumerGoods
AMRIZE LTD,AMRZ.SW,Stocks,Zurich,BasicMaterials
Ams AG,AMS.SW,Stocks,Zurich,Technology
Landis+Gyr Group AG,LAND.SW,Stocks,Zurich,IndustrialGoods
u-blox Holding AG,UBXN.SW,Stocks,Zurich,Services
Daetwyler Holding AG,DAE.SW,Stocks,Zurich,BasicMaterials
Stadler Rail AG,SRAIL.SW,Stocks,Zurich,IndustrialGoods
Alcon Inc.,ALC.SW,Stocks,Zurich,ConsumerGoods
Barry Callebaut AG,BARN.SW,Stocks,Zurich,ConsumerGoods
Bucher Industries AG,BUCN.SW,Stocks,Zurich,IndustrialGoods
Cembra Money Bank AG,CMBN.SW,Stocks,Zurich,Financial
Clariant AG,CLN.SW,Stocks,Zurich,BasicMaterials
DKSH Holding AG,DKSH.SW,Stocks,Zurich,Services
Avolta AG,AVOL.SW,Stocks,Zurich,ConsumerGoods
Ems-Chemie Holding AG,EMSN.SW,Stocks,Zurich,BasicMaterials
Flughafen Zurich AG,FHZN.SW,Stocks,Zurich,IndustrialGoods
Galenica AG,GALE.SW,Stocks,Zurich,ConsumerGoods
Helvetia Baloise Holding AG,HBAN.SW,Stocks,Zurich,Financial
Kuehne & Nagel International AG,KNIN.SW,Stocks,Zurich,IndustrialGoods
Logitech International SA,LOGN.SW,Stocks,Zurich,Technology
Lonza Group Ltd,LONN.SW,Stocks,Zurich,ConsumerGoods
OC Oerlikon Corporation AG,OERL.SW,Stocks,Zurich,BasicMaterials
Partners Group Holding AG,PGHN.SW,Stocks,Zurich,Financial
PSP Swiss Property AG,PSPN.SW,Stocks,Zurich,Financial
Schindler Holding AG,SCHP.SW,Stocks,Zurich,IndustrialGoods
Sika Ltd,SIKA.SW,Stocks,Zurich,IndustrialGoods
Sonova Holding AG,SOON.SW,Stocks,Zurich,ConsumerGoods
Straumann Holding Ltd,STMN.SW,Stocks,Zurich,ConsumerGoods
Swiss Prime Site AG,SPSN.SW,Stocks,Zurich,Financial
Tecan Group AG,TECN.SW,Stocks,Zurich,ConsumerGoods
Temenos Ltd,TEMN.SW,Stocks,Zurich,Technology
VAT Group Ltd,VACN.SW,Stocks,Zurich,IndustrialGoods
